url,description,verified,tweets,location
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,"Live performance se pehle gana araha hai 🎶 ready rehna. 

Loota Rey - releasing today at 6:00 PM ‼️

#quaideazamzindabad #fahadmustafa #mahirakhan https://t.co/vyILuwyHS4","Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,"When me and @TheMahiraKhan are  performing live, you know you can't miss it! So be there at Port Grand today at 9:00 PM ‼️
.
.
#qaz #quaideazamzindabad #mahirakhan #fahadmustafa #pakistanimovies #pakiatanicinema #newfilms  #filmwalapictures #vidlytv #humtv #eveready https://t.co/vAacIuuali","Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,♥️ https://t.co/COwm4HCZiv,"Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,"Mahira Khan &amp; Fahad Mustafa in Candid Conversations , Quaid - e-Azam Zin... https://t.co/gZw5K2EYpc via @YouTube","Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,It all begins with how you choose to think ‼️ https://t.co/QRDFTPlmvh,"Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,"Promotion Day 2 ‼️

1st stop Fuchsia Magazine…

#quaideazamzindabad #fahadmustafa #mahirakhan #filmwalapictures https://t.co/XTHJ64xTIX","Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,"Mashoori ka dusra din ✌️
#quaideazamzindabad #releasingoneidulazha2022 https://t.co/017ktmxAEn","Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,Love you buddy ♥️ https://t.co/x1DmDP3i9d,"Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,Thankyou @SAfridiOfficial bhai ♥️ https://t.co/v2EuICEGsH,"Karachi, Pakistan"
https://twitter.com/fahadmustafa26,Insta: instagram.com/mustafafahad26/ Twitter: twitter.com/JeetoPakistan_,True,Thankyou @aaliaaaliya ♥️ https://t.co/NQc0XQDnfO,"Karachi, Pakistan"
